"id","created_at","name","has_test","alternate_url"
"44639179","2021-06-13T14:09:05+0300","Data Scientist",false,"https://hh.ru/vacancy/44639179"
"44625530","2021-06-13T10:33:41+0300","Data Scientist",false,"https://hh.ru/vacancy/44625530"
"44895823","2021-06-13T10:18:33+0300","Data Scientist",false,"https://hh.ru/vacancy/44895823"
"43825932","2021-06-13T09:55:52+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/43825932"
"45356788","2021-06-12T22:48:22+0300","Data Scientist",false,"https://hh.ru/vacancy/45356788"
"44901512","2021-06-13T12:01:32+0300","Web-product analyst - data scientist",false,"https://hh.ru/vacancy/44901512"
"45196738","2021-06-12T18:37:27+0300","Data Scientist",false,"https://hh.ru/vacancy/45196738"
"40869614","2021-06-13T10:39:16+0300","Team Lead/Senior Data Scientist",false,"https://hh.ru/vacancy/40869614"
"45080954","2021-06-12T16:00:37+0300","Data Scientist",false,"https://hh.ru/vacancy/45080954"
"45191074","2021-06-12T15:50:44+0300","Data Scientist",false,"https://hh.ru/vacancy/45191074"
"44875056","2021-06-12T14:58:09+0300","Data Scientist",false,"https://hh.ru/vacancy/44875056"
"45179774","2021-06-12T12:12:35+0300","Data Scientist",false,"https://hh.ru/vacancy/45179774"
"45061824","2021-06-12T11:22:53+0300","Data Scientist",false,"https://hh.ru/vacancy/45061824"
"44201538","2021-06-13T15:02:57+0300","Data Analyst",false,"https://hh.ru/vacancy/44201538"
"45220415","2021-06-13T14:49:01+0300","Data Engineer",false,"https://hh.ru/vacancy/45220415"
"44350010","2021-06-12T10:06:40+0300","Data Scientist",false,"https://hh.ru/vacancy/44350010"
"42971055","2021-06-12T09:55:54+0300","Data Scientist",false,"https://hh.ru/vacancy/42971055"
"44088438","2021-06-12T19:00:33+0300","Аналитик / Data scientist",false,"https://hh.ru/vacancy/44088438"
"45238096","2021-06-12T18:34:55+0300","Data Scientist (Middle)",false,"https://hh.ru/vacancy/45238096"
"44441141","2021-06-13T13:08:38+0300","Data engineer",false,"https://hh.ru/vacancy/44441141"
